Large Lines,OK,,,,,,,,,
,,,,,,,,,,
Row Labels,Sum of Shipped Quantity,%,Cumul %,Classification,Days on Hand,Daily Demand,Units on Hand,Item Cube,Cube on Hand,Bins Needed
26352,600,0.1%,4.8%,AA,2,23,46,0.24375,11.3,5
202328,579,0.1%,4.8%,AA,2,22,45,0.208938657,9.3,5
931844,575,0.1%,4.9%,AA,2,22,44,0.118333333,5.2,3
202350,556,0.1%,5.0%,AA,2,21,43,0.279739583,12.0,6
947726,547,0.1%,5.0%,AA,2,21,42,0.11484375,4.8,3
202359,547,0.1%,5.1%,AA,2,21,42,0.271435185,11.4,6
37330,547,0.1%,5.1%,AA,2,21,42,0.11484375,4.8,3
914585,525,0.1%,5.2%,AA,2,20,40,0.044166667,1.8,1
34541,520,0.1%,5.2%,AA,2,20,40,0.139930556,5.6,3
914864,519,0.1%,5.3%,AA,2,20,40,0.069598958,2.8,2
910003,507,0.1%,5.3%,AA,2,20,39,0.0433125,1.7,1
38115,506,0.1%,5.4%,AA,2,19,39,0.173375,6.7,3
914577,490,0.1%,5.4%,AA,2,19,38,0.11484375,4.3,2
35771,487,0.1%,5.5%,AA,2,19,37,0.136026042,5.1,3
838058,486,0.1%,5.5%,AA,2,19,37,0.328735532,12.3,6
933369,485,0.1%,5.6%,AA,2,19,37,0.059222222,2.2,1
353136,483,0.0%,5.6%,AA,2,19,37,0.253611111,9.4,5
137002,479,0.0%,5.7%,AA,2,18,37,0.039569444,1.5,1
914615,456,0.0%,5.7%,AA,2,18,35,0.093683333,3.3,2
809422,453,0.0%,5.8%,AA,2,17,35,0.328020833,11.4,6
857898,452,0.0%,5.8%,AA,2,17,35,0.054083333,1.9,1
814816,451,0.0%,5.9%,AA,2,17,35,0.296633102,10.3,5
29338,451,0.0%,5.9%,AA,2,17,35,0.155833333,5.4,3
932856,448,0.0%,6.0%,AA,2,17,34,0.118333333,4.1,2
844623,445,0.0%,6.0%,AA,2,17,34,0.328735532,11.3,5
914584,441,0.0%,6.1%,AA,2,17,34,0.069598958,2.4,2
5576,439,0.0%,6.1%,AA,2,17,34,0.197465278,6.7,3
28206,435,0.0%,6.2%,AA,2,17,33,0.090574074,3.0,2
932805,429,0.0%,6.2%,AA,2,17,33,0.031319444,1.0,1
84902,423,0.0%,6.2%,AA,2,16,33,0.0126875,0.4,1
80953,421,0.0%,6.3%,AA,2,16,32,0.05538831,1.8,1
936118,419,0.0%,6.3%,AA,2,16,32,0.118333333,3.8,2
706972,417,0.0%,6.4%,AA,2,16,32,0.33046875,10.6,5
35781,417,0.0%,6.4%,AA,2,16,32,0.175135417,5.6,3
524886,408,0.0%,6.5%,AA,2,16,31,0.264967593,8.3,4
43002,408,0.0%,6.5%,AA,2,16,31,0.179585069,5.6,3
29324,407,0.0%,6.5%,AA,2,16,31,0.158106481,4.9,3
23251,402,0.0%,6.6%,AA,2,15,31,0.24375,7.5,4
525407,400,0.0%,6.6%,AA,2,15,31,0.112777778,3.5,2
13005,400,0.0%,6.7%,AA,2,15,31,0.171592593,5.3,3
35778,398,0.0%,6.7%,AA,2,15,31,0.1854375,5.7,3
343548,396,0.0%,6.8%,AA,2,15,30,0.208938657,6.4,3
71257,395,0.0%,6.8%,AA,2,15,30,0.275,8.4,4
525254,392,0.0%,6.8%,AA,2,15,30,0.184166667,5.6,3
922176,387,0.0%,6.9%,AA,2,15,30,0.1710625,5.1,3
33569,385,0.0%,6.9%,AA,2,15,30,0.0995625,2.9,2
202327,384,0.0%,7.0%,AA,2,15,30,0.205427083,6.1,3
29327,383,0.0%,7.0%,AA,2,15,29,0.136111111,4.0,2
617468,382,0.0%,7.0%,AA,2,15,29,0.325572917,9.6,5
932377,378,0.0%,7.1%,AA,2,15,29,0.099284722,2.9,2
38119,376,0.0%,7.1%,AA,2,14,29,0.238715278,6.9,4
524881,373,0.0%,7.1%,AA,2,14,29,0.264050926,7.6,4
690458,372,0.0%,7.2%,AA,2,14,29,0.422782407,12.1,6
919766,369,0.0%,7.2%,AA,2,14,28,0.254953125,7.2,4
524543,369,0.0%,7.3%,AA,2,14,28,0.085321759,2.4,2
915356,365,0.0%,7.3%,AA,2,14,28,0.084972222,2.4,2
840876,365,0.0%,7.3%,AA,2,14,28,0.328735532,9.2,5
910429,362,0.0%,7.4%,AA,2,14,28,0.051678241,1.4,1
257349,361,0.0%,7.4%,AA,2,14,28,0.344013889,9.6,5
70718,356,0.0%,7.4%,AA,2,14,27,0.277488426,7.6,4
80946,351,0.0%,7.5%,AA,2,14,27,0.082682292,2.2,1
914607,350,0.0%,7.5%,AA,2,13,27,0.044166667,1.2,1
525281,349,0.0%,7.6%,AA,2,13,27,0.184166667,4.9,3
342894,349,0.0%,7.6%,AA,2,13,27,0.271435185,7.3,4
862684,343,0.0%,7.6%,AA,2,13,26,0.0585,1.5,1
689296,341,0.0%,7.7%,AA,2,13,26,0.366564236,9.6,5
5467,340,0.0%,7.7%,AA,2,13,26,0.145688657,3.8,2
860434,339,0.0%,7.7%,AA,2,13,26,0.035777778,0.9,1
836268,338,0.0%,7.8%,AA,2,13,26,0.054083333,1.4,1
937933,332,0.0%,7.8%,AA,2,13,26,0.099284722,2.5,2
965441,331,0.0%,7.8%,AA,2,13,25,0.11484375,2.9,2
930191,327,0.0%,7.9%,AA,2,13,25,0.11484375,2.9,2
40138,326,0.0%,7.9%,AA,2,13,25,0.179585069,4.5,2
908159,325,0.0%,7.9%,AA,2,13,25,0.073548611,1.8,1
36865,324,0.0%,8.0%,AA,2,12,25,0.026087963,0.7,1
930537,320,0.0%,8.0%,AA,2,12,25,0.093683333,2.3,2
28224,319,0.0%,8.0%,AA,2,12,25,0.171759259,4.2,2
470385,318,0.0%,8.1%,AA,2,12,24,0.27474537,6.7,3
966109,317,0.0%,8.1%,AA,2,12,24,0.037239583,0.9,1
964029,316,0.0%,8.1%,AA,2,12,24,0.101157407,2.5,2
929091,314,0.0%,8.2%,AA,2,12,24,0.045926794,1.1,1
690457,313,0.0%,8.2%,AA,2,12,24,0.356481481,8.6,4
468049,313,0.0%,8.2%,AA,2,12,24,0.27546875,6.6,3
908020,311,0.0%,8.3%,AA,2,12,24,0.03675,0.9,1
137030,308,0.0%,8.3%,AA,2,12,24,0.033222222,0.8,1
966181,307,0.0%,8.3%,AA,2,12,24,0.074119792,1.8,1
929036,307,0.0%,8.4%,AA,2,12,24,0.118333333,2.8,2
690467,306,0.0%,8.4%,AA,2,12,24,0.422321181,9.9,5
38126,305,0.0%,8.4%,AA,2,12,23,0.238715278,5.6,3
75238,303,0.0%,8.5%,AA,2,12,23,0.16875,3.9,2
513238,302,0.0%,8.5%,AA,2,12,23,0.318645833,7.4,4
860435,294,0.0%,8.5%,AA,2,11,23,0.035777778,0.8,1
12218,294,0.0%,8.5%,AA,2,11,23,0.285465278,6.5,3
306248,291,0.0%,8.6%,AA,2,11,22,0.060763889,1.4,1
931825,290,0.0%,8.6%,AA,2,11,22,0.115104167,2.6,2
71713,289,0.0%,8.6%,AA,2,11,22,0.259140625,5.8,3
12219,289,0.0%,8.7%,AA,2,11,22,0.231833333,5.2,3
932888,288,0.0%,8.7%,AA,2,11,22,0.044166667,1.0,1
929125,286,0.0%,8.7%,AA,2,11,22,0.045926794,1.0,1
839029,285,0.0%,8.8%,AA,2,11,22,0.017462963,0.4,1
909176,283,0.0%,8.8%,AA,2,11,22,0.041927083,0.9,1
52011,282,0.0%,8.8%,AA,2,11,22,0.16275,3.5,2
908577,280,0.0%,8.8%,AA,2,11,22,0.097854167,2.1,1
841054,280,0.0%,8.9%,AA,2,11,22,0.050555556,1.1,1
23442,280,0.0%,8.9%,AA,2,11,22,0.2284375,4.9,3
922149,278,0.0%,8.9%,AA,2,11,21,0.181197917,3.9,2
941128,276,0.0%,9.0%,AA,2,11,21,0.314618056,6.7,3
930159,275,0.0%,9.0%,AA,2,11,21,0.171759259,3.6,2
859223,275,0.0%,9.0%,AA,2,11,21,0.048148148,1.0,1
816048,275,0.0%,9.0%,AA,2,11,21,0.31125,6.6,3
36838,275,0.0%,9.1%,AA,2,11,21,0.341076389,7.2,4
932847,274,0.0%,9.1%,AA,2,11,21,0.115104167,2.4,2
616645,274,0.0%,9.1%,AA,2,11,21,0.29925,6.3,3
137171,274,0.0%,9.2%,AA,2,11,21,0.047277778,1.0,1
923730,270,0.0%,9.2%,AA,2,10,21,0.1710625,3.6,2
68404,269,0.0%,9.2%,AA,2,10,21,0.37453125,7.7,4
780410,267,0.0%,9.2%,AA,2,10,21,0.271435185,5.6,3
34685,267,0.0%,9.3%,AA,2,10,21,0.369201389,7.6,4
922854,266,0.0%,9.3%,AA,2,10,20,0.191151042,3.9,2
914463,265,0.0%,9.3%,AA,2,10,20,0.031319444,0.6,1
724445,265,0.0%,9.4%,AA,2,10,20,0.32725,6.7,3
13385,262,0.0%,9.4%,AA,2,10,20,0.120555556,2.4,2
68375,260,0.0%,9.4%,AA,2,10,20,0.277488426,5.5,3
909447,259,0.0%,9.4%,AA,2,10,20,0.0121875,0.2,1
523175,259,0.0%,9.5%,AA,2,10,20,0.190621528,3.8,2
391106,259,0.0%,9.5%,AA,2,10,20,0.347604167,6.9,4
524583,257,0.0%,9.5%,AA,2,10,20,0.109253472,2.2,1
295659,256,0.0%,9.5%,AA,2,10,20,0.173375,3.4,2
70004,256,0.0%,9.6%,AA,2,10,20,0.300522569,5.9,3
38117,256,0.0%,9.6%,AA,2,10,20,0.192901042,3.8,2
1091462,254,0.0%,9.6%,AA,2,10,20,0.197528935,3.9,2
1055466,254,0.0%,9.6%,AA,2,10,20,0.18140162,3.5,2
837709,254,0.0%,9.7%,AA,2,10,20,0.321819444,6.3,3
353124,254,0.0%,9.7%,AA,2,10,20,0.263178241,5.1,3
132829,254,0.0%,9.7%,AA,2,10,20,0.044641204,0.9,1
36886,254,0.0%,9.8%,AA,2,10,20,0.3995,7.8,4
690437,253,0.0%,9.8%,AA,2,10,19,0.329190394,6.4,3
906839,252,0.0%,9.8%,AA,2,10,19,0.029021991,0.6,1
41178,252,0.0%,9.8%,AA,2,10,19,0.136342593,2.6,2
524509,251,0.0%,9.9%,AA,2,10,19,0.086555556,1.7,1
22990,251,0.0%,9.9%,AA,2,10,19,0.097510417,1.9,1
922864,250,0.0%,9.9%,AA,2,10,19,0.1710625,3.3,2
929826,250,0.0%,9.9%,AA,2,10,19,0.115104167,2.2,1
932708,249,0.0%,10.0%,AA,2,10,19,0.093683333,1.8,1
70900,249,0.0%,10.0%,AA,2,10,19,0.37453125,7.2,4
932896,247,0.0%,10.0%,AA,2,10,19,0.093683333,1.8,1
933380,247,0.0%,10.0%,AA,2,10,19,0.031319444,0.6,1
12458,246,0.0%,10.1%,AA,2,9,19,0.08575,1.6,1
38113,246,0.0%,10.1%,AA,2,9,19,0.197373264,3.7,2
841133,245,0.0%,10.1%,AA,2,9,19,0.282888889,5.3,3
258879,243,0.0%,10.1%,AA,2,9,19,0.315,5.9,3
1121208,242,0.0%,10.2%,AA,2,9,19,0.18140162,3.4,2
70732,242,0.0%,10.2%,AA,2,9,19,0.325137731,6.1,3
932803,241,0.0%,10.2%,AA,2,9,19,0.059222222,1.1,1
511864,241,0.0%,10.2%,AA,2,9,19,0.325572917,6.0,3
34743,241,0.0%,10.3%,AA,2,9,19,0.082666667,1.5,1
910126,240,0.0%,10.3%,AA,2,9,18,0.065552083,1.2,1
840299,240,0.0%,10.3%,AA,2,9,18,0.050203125,0.9,1
36635,240,0.0%,10.3%,AA,2,9,18,0.028270833,0.5,1
782847,239,0.0%,10.4%,AA,2,9,18,0.283773148,5.2,3
1055464,238,0.0%,10.4%,AA,2,9,18,0.226499421,4.1,2
914254,238,0.0%,10.4%,AA,2,9,18,0.038515625,0.7,1
838070,238,0.0%,10.4%,AA,2,9,18,0.321819444,5.9,3
79706,237,0.0%,10.5%,AA,2,9,18,0.111513889,2.0,1
836277,236,0.0%,10.5%,AA,2,9,18,0.0475,0.9,1
80634,236,0.0%,10.5%,AA,2,9,18,0.10153125,1.8,1
48910,236,0.0%,10.5%,AA,2,9,18,0.2603125,4.7,3
968913,233,0.0%,10.6%,AA,2,9,18,0.042328125,0.8,1
525233,233,0.0%,10.6%,AA,2,9,18,0.161104167,2.9,2
70075,233,0.0%,10.6%,AA,2,9,18,0.340159722,6.1,3
929887,232,0.0%,10.6%,AA,2,9,18,0.118333333,2.1,1
933325,231,0.0%,10.7%,AA,2,9,18,0.059222222,1.1,1
849574,231,0.0%,10.7%,AA,2,9,18,0.113390625,2.0,1
44153,230,0.0%,10.7%,AA,2,9,18,0.338722222,6.0,3
13021,230,0.0%,10.7%,AA,2,9,18,0.095939815,1.7,1
70734,229,0.0%,10.7%,AA,2,9,18,0.3475,6.1,3
404822,228,0.0%,10.8%,AA,2,9,18,0.427864583,7.5,4
126400,227,0.0%,10.8%,AA,2,9,17,0.172302083,3.0,2
71729,227,0.0%,10.8%,AA,2,9,17,0.229600694,4.0,2
724457,226,0.0%,10.8%,AA,2,9,17,0.322109954,5.6,3
406274,225,0.0%,10.9%,AA,2,9,17,0.438722222,7.6,4
631471,223,0.0%,10.9%,AA,2,9,17,0.27546875,4.7,3
148093,223,0.0%,10.9%,AA,2,9,17,0.361747685,6.2,3
35281,221,0.0%,10.9%,AA,2,9,17,0.138541667,2.4,2
780280,220,0.0%,11.0%,AA,2,8,17,0.2803125,4.7,3
689265,220,0.0%,11.0%,AA,2,8,17,0.336194444,5.7,3
13128,220,0.0%,11.0%,AA,2,8,17,0.016218171,0.3,1
907907,219,0.0%,11.0%,AA,2,8,17,0.0121875,0.2,1
915903,218,0.0%,11.0%,AA,2,8,17,0.076222222,1.3,1
906609,218,0.0%,11.1%,AA,2,8,17,0.011805556,0.2,1
26403,218,0.0%,11.1%,AA,2,8,17,0.282388889,4.7,3
3818,218,0.0%,11.1%,AA,2,8,17,0.026087963,0.4,1
844116,217,0.0%,11.1%,AA,2,8,17,0.495225694,8.3,4
1058686,215,0.0%,11.2%,AA,2,8,17,0.167737269,2.8,2
690456,215,0.0%,11.2%,AA,2,8,17,0.350115741,5.8,3
353109,215,0.0%,11.2%,AA,2,8,17,0.253611111,4.2,2
137217,215,0.0%,11.2%,AA,2,8,17,0.039569444,0.7,1
780345,214,0.0%,11.2%,AA,2,8,16,0.27421875,4.5,2
839423,214,0.0%,11.3%,AA,2,8,16,0.084,1.4,1
473859,214,0.0%,11.3%,AA,2,8,16,0.309027778,5.1,3
53521,214,0.0%,11.3%,AA,2,8,16,0.258125,4.2,2
689282,213,0.0%,11.3%,AA,2,8,16,0.362622685,5.9,3
136594,212,0.0%,11.4%,AA,2,8,16,0.143083333,2.3,2
42621,212,0.0%,11.4%,AA,2,8,16,0.258796296,4.2,2
920313,211,0.0%,11.4%,AA,2,8,16,0.232465278,3.8,2
690477,211,0.0%,11.4%,AA,2,8,16,0.418284722,6.8,3
603346,211,0.0%,11.4%,AA,2,8,16,0.347555556,5.6,3
603173,211,0.0%,11.5%,AA,2,8,16,0.338722222,5.5,3
914462,210,0.0%,11.5%,AA,2,8,16,0.059222222,1.0,1
706836,210,0.0%,11.5%,AA,2,8,16,0.328175926,5.3,3
897822,209,0.0%,11.5%,AA,2,8,16,0.035777778,0.6,1
928996,209,0.0%,11.6%,AA,2,8,16,0.053240741,0.9,1
1065999,208,0.0%,11.6%,AA,2,8,16,0.032777778,0.5,1
923727,208,0.0%,11.6%,AA,2,8,16,0.191151042,3.1,2
511859,208,0.0%,11.6%,AA,2,8,16,0.322186343,5.2,3
13403,208,0.0%,11.6%,AA,2,8,16,0.0648125,1.0,1
28601,208,0.0%,11.7%,AA,2,8,16,0.174230324,2.8,2
57419,207,0.0%,11.7%,AA,2,8,16,0.262013889,4.2,2
913919,206,0.0%,11.7%,AA,2,8,16,0.042777778,0.7,1
782798,205,0.0%,11.7%,AA,2,8,16,0.271435185,4.3,2
865153,205,0.0%,11.7%,AA,2,8,16,0.040019097,0.6,1
19147,205,0.0%,11.8%,AA,2,8,16,0.055338542,0.9,1
42537,205,0.0%,11.8%,AA,2,8,16,0.268125,4.2,2
23130,205,0.0%,11.8%,AA,2,8,16,0.282388889,4.5,2
908196,204,0.0%,11.8%,AA,2,8,16,0.016791667,0.3,1
780511,204,0.0%,11.9%,AA,2,8,16,0.283773148,4.5,2
857797,203,0.0%,11.9%,AA,2,8,16,0.055763889,0.9,1
30784,203,0.0%,11.9%,AA,2,8,16,0.10597338,1.7,1
814823,202,0.0%,11.9%,AA,2,8,16,0.369201389,5.7,3
404817,202,0.0%,11.9%,AA,2,8,16,0.365231481,5.7,3
30785,202,0.0%,12.0%,AA,2,8,16,0.125342014,1.9,1
933149,201,0.0%,12.0%,AA,2,8,15,0.084972222,1.3,1
907625,200,0.0%,12.0%,AA,2,8,15,0.037013889,0.6,1
915202,200,0.0%,12.0%,AA,2,8,15,0.069598958,1.1,1
850003,200,0.0%,12.0%,AA,2,8,15,0.04462037,0.7,1
42335,200,0.0%,12.1%,AA,2,8,15,0.283773148,4.4,2
23263,200,0.0%,12.1%,AA,2,8,15,0.143296296,2.2,1
858808,199,0.0%,12.1%,AA,2,8,15,0.05671875,0.9,1
847622,199,0.0%,12.1%,AA,2,8,15,0.233430556,3.6,2
780592,199,0.0%,12.1%,AA,2,8,15,0.328020833,5.0,3
631525,199,0.0%,12.2%,AA,2,8,15,0.27546875,4.2,2
513403,199,0.0%,12.2%,AA,2,8,15,0.318645833,4.9,3
14926,199,0.0%,12.2%,AA,2,8,15,0.046972222,0.7,1
34434,199,0.0%,12.2%,AA,2,8,15,0.129305556,2.0,1
689317,198,0.0%,12.2%,AA,2,8,15,0.425012153,6.5,3
920447,197,0.0%,12.3%,AA,2,8,15,0.254953125,3.9,2
75890,197,0.0%,12.3%,AA,2,8,15,0.069444444,1.1,1
1068004,196,0.0%,12.3%,AA,2,8,15,0.03481713,0.5,1
404829,196,0.0%,12.3%,AA,2,8,15,0.425012153,6.4,3
846090,195,0.0%,12.3%,AA,2,8,15,0.328735532,4.9,3
299008,195,0.0%,12.4%,AA,2,8,15,0.435861111,6.5,3
328008,195,0.0%,12.4%,AA,2,8,15,0.258125,3.9,2
5600,195,0.0%,12.4%,AA,2,8,15,0.138055556,2.1,1
13369,195,0.0%,12.4%,AA,2,8,15,0.045451389,0.7,1
971424,194,0.0%,12.4%,AA,2,7,15,0.101157407,1.5,1
864985,194,0.0%,12.5%,AA,2,7,15,0.0585,0.9,1
391099,194,0.0%,12.5%,AA,2,7,15,0.366444444,5.5,3
35021,194,0.0%,12.5%,AA,2,7,15,0.272109375,4.1,2
26302,193,0.0%,12.5%,AA,2,7,15,0.2284375,3.4,2
46612,193,0.0%,12.5%,AA,2,7,15,0.437065972,6.5,3
27362,193,0.0%,12.6%,AA,2,7,15,0.338333333,5.0,3
38128,193,0.0%,12.6%,AA,2,7,15,0.192901042,2.9,2
910123,192,0.0%,12.6%,AA,2,7,15,0.019395833,0.3,1
857860,192,0.0%,12.6%,AA,2,7,15,0.099618056,1.5,1
295579,192,0.0%,12.6%,AA,2,7,15,0.238715278,3.5,2
64216,192,0.0%,12.7%,AA,2,7,15,0.205949074,3.0,2
689277,191,0.0%,12.7%,AA,2,7,15,0.338722222,5.0,3
525214,191,0.0%,12.7%,AA,2,7,15,0.126712963,1.9,1
70736,191,0.0%,12.7%,AA,2,7,15,0.347083333,5.1,3
57426,191,0.0%,12.7%,AA,2,7,15,0.271875,4.0,2
885744,190,0.0%,12.8%,AA,2,7,15,0.055763889,0.8,1
932873,189,0.0%,12.8%,AA,2,7,15,0.115104167,1.7,1
689325,188,0.0%,12.8%,AA,2,7,14,0.422159722,6.1,3
23001,188,0.0%,12.8%,AA,2,7,14,0.204148148,3.0,2
524576,187,0.0%,12.8%,AA,2,7,14,0.094888889,1.4,1
1121232,186,0.0%,12.9%,AA,2,7,14,0.224305556,3.2,2
932382,186,0.0%,12.9%,AA,2,7,14,0.098708333,1.4,1
974735,186,0.0%,12.9%,AA,2,7,14,0.042850694,0.6,1
836260,185,0.0%,12.9%,AA,2,7,14,0.052731481,0.8,1
861248,185,0.0%,12.9%,AA,2,7,14,0.09078125,1.3,1
603309,185,0.0%,13.0%,AA,2,7,14,0.340314815,4.8,3
137012,185,0.0%,13.0%,AA,2,7,14,0.025833333,0.4,1
207595,185,0.0%,13.0%,AA,2,7,14,0.188296875,2.7,2
915917,184,0.0%,13.0%,AA,2,7,14,0.061444444,0.9,1
929973,184,0.0%,13.0%,AA,2,7,14,0.0435625,0.6,1
905771,184,0.0%,13.1%,AA,2,7,14,0.072414352,1.0,1
933115,184,0.0%,13.1%,AA,2,7,14,0.098694444,1.4,1
12221,184,0.0%,13.1%,AA,2,7,14,0.262387731,3.7,2
906745,183,0.0%,13.1%,AA,2,7,14,0.00662037,0.1,1
724437,183,0.0%,13.1%,AA,2,7,14,0.2709375,3.8,2
40862,183,0.0%,13.1%,AA,2,7,14,0.32195544,4.5,2
42415,183,0.0%,13.2%,AA,2,7,14,0.2603125,3.7,2
524486,182,0.0%,13.2%,AA,2,7,14,0.070449653,1.0,1
391093,182,0.0%,13.2%,AA,2,7,14,0.373171296,5.2,3
71736,182,0.0%,13.2%,AA,2,7,14,0.2990625,4.2,2
80636,182,0.0%,13.2%,AA,2,7,14,0.084704861,1.2,1
917697,181,0.0%,13.3%,AA,2,7,14,0.042850694,0.6,1
909553,181,0.0%,13.3%,AA,2,7,14,0.026355903,0.4,1
5526,181,0.0%,13.3%,AA,2,7,14,0.268462963,3.7,2
631501,180,0.0%,13.3%,AA,2,7,14,0.27546875,3.8,2
137517,180,0.0%,13.3%,AA,2,7,14,0.028648148,0.4,1
909431,179,0.0%,13.4%,AA,2,7,14,0.005347222,0.1,1
908573,179,0.0%,13.4%,AA,2,7,14,0.042375,0.6,1
860437,179,0.0%,13.4%,AA,2,7,14,0.035777778,0.5,1
29342,179,0.0%,13.4%,AA,2,7,14,0.153541667,2.1,1
42615,179,0.0%,13.4%,AA,2,7,14,0.273523148,3.8,2
603180,178,0.0%,13.4%,AA,2,7,14,0.345,4.7,3
225674,178,0.0%,13.5%,AA,2,7,14,0.413194444,5.7,3
22982,178,0.0%,13.5%,AA,2,7,14,0.095277778,1.3,1
137339,177,0.0%,13.5%,AA,2,7,14,0.060966435,0.8,1
136765,177,0.0%,13.5%,AA,2,7,14,0.242875,3.3,2
84901,177,0.0%,13.5%,AA,2,7,14,0.0126875,0.2,1
837720,176,0.0%,13.6%,AA,2,7,14,0.266776042,3.6,2
312758,176,0.0%,13.6%,AA,2,7,14,0.263411458,3.6,2
33643,176,0.0%,13.6%,AA,2,7,14,0.114351852,1.5,1
782206,175,0.0%,13.6%,AA,2,7,13,0.461664352,6.2,3
257310,175,0.0%,13.6%,AA,2,7,13,0.324376157,4.4,2
1129014,174,0.0%,13.6%,AA,2,7,13,0.0255,0.3,1
910054,174,0.0%,13.7%,AA,2,7,13,0.052175926,0.7,1
917567,173,0.0%,13.7%,AA,2,7,13,0.043541667,0.6,1
758856,173,0.0%,13.7%,AA,2,7,13,0.257213542,3.4,2
870113,173,0.0%,13.7%,AA,2,7,13,0.052151042,0.7,1
603352,173,0.0%,13.7%,AA,2,7,13,0.375836806,5.0,3
80630,173,0.0%,13.8%,AA,2,7,13,0.091851852,1.2,1
39225,173,0.0%,13.8%,AA,2,7,13,0.049398148,0.7,1
906232,172,0.0%,13.8%,AA,2,7,13,0.014583333,0.2,1
295913,172,0.0%,13.8%,AA,2,7,13,0.238715278,3.2,2
75708,172,0.0%,13.8%,AA,2,7,13,0.314618056,4.2,2
631445,171,0.0%,13.8%,AA,2,7,13,0.278828125,3.7,2
394596,171,0.0%,13.9%,AA,2,7,13,0.341076389,4.5,2
66958,171,0.0%,13.9%,AA,2,7,13,0.154023148,2.0,1
631418,170,0.0%,13.9%,AA,2,7,13,0.277604167,3.6,2
841353,169,0.0%,13.9%,AA,2,7,13,0.274510417,3.6,2
857713,169,0.0%,13.9%,AA,2,7,13,0.082520255,1.1,1
851249,169,0.0%,14.0%,AA,2,7,13,0.036743056,0.5,1
603340,169,0.0%,14.0%,AA,2,7,13,0.334140625,4.3,2
65973,169,0.0%,14.0%,AA,2,7,13,0.162057292,2.1,1
38728,169,0.0%,14.0%,AA,2,7,13,0.364467593,4.7,3
30733,169,0.0%,14.0%,AA,2,7,13,0.14179456,1.8,1
23285,168,0.0%,14.0%,AA,2,6,13,0.011649306,0.2,1
23073,168,0.0%,14.1%,AA,2,6,13,0.150166667,1.9,1
865265,167,0.0%,14.1%,AA,2,6,13,0.051625,0.7,1
311186,167,0.0%,14.1%,AA,2,6,13,0.264814815,3.4,2
138538,167,0.0%,14.1%,AA,2,6,13,0.336194444,4.3,2
40142,167,0.0%,14.1%,AA,2,6,13,0.197528935,2.5,2
